Value,Feature,feature_set
0.0,home_team_std_elo_last_60_matches,Recent Elo rating (#: 34)
0.0,home_team_std_elo_last_90_matches,Recent Elo rating (#: 34)
3.81533765737907e-05,home_team_avg_elo_last_20_matches,Recent Elo rating (#: 34)
3.81533765738018e-05,away_team_avg_goal_at_away_last_90_matches,Recent avg goal & win % (#: 65)
3.81533765738018e-05,home_player_5_pc_3,Player attributes (#: 110)
3.81533765738018e-05,home_player_6_pc_2,Player attributes (#: 110)
3.81533765738129e-05,home_player_4_pc_2,Player attributes (#: 110)
3.8153376573824e-05,away_player_4_pc_4,Player attributes (#: 110)
3.8153376573824e-05,away_player_7_pc_2,Player attributes (#: 110)
3.8153376573824e-05,away_team_avg_goal_at_away_last_3_matches,Recent avg goal & win % (#: 65)
3.8153376573824e-05,home_player_10_pc_2,Player attributes (#: 110)
3.8153376573824e-05,home_player_3_pc_4,Player attributes (#: 110)
3.8153376573824e-05,home_team_avg_oppnt_goal_at_home_last_30_matches,Recent avg goal & win % (#: 65)
3.8153376573824e-05,home_team_home_lose_percentage_last_90_matches,Recent avg goal & win % (#: 65)
7.63067531476147e-05,home_player_9_pc_1,Player attributes (#: 110)
7.63067531476369e-05,away_player_5_pc_1,Player attributes (#: 110)
7.63067531476369e-05,away_player_8_pc_5,Player attributes (#: 110)
7.6306753147648e-05,away_player_2_pc_4,Player attributes (#: 110)
7.6306753147648e-05,away_player_2_pc_5,Player attributes (#: 110)
7.6306753147648e-05,away_team_avg_goal_at_away_last_5_matches,Recent avg goal & win % (#: 65)
7.6306753147648e-05,away_team_avg_oppnt_goal_at_away_last_20_matches,Recent avg goal & win % (#: 65)
7.6306753147648e-05,away_team_away_lose_percentage_last_20_matches,Recent avg goal & win % (#: 65)
7.6306753147648e-05,away_team_away_lose_percentage_last_3_matches,Recent avg goal & win % (#: 65)
7.6306753147648e-05,away_team_away_win_percentage_last_90_matches,Recent avg goal & win % (#: 65)
7.6306753147648e-05,home_player_11_pc_2,Player attributes (#: 110)
7.6306753147648e-05,home_player_8_pc_2,Player attributes (#: 110)
7.6306753147648e-05,home_player_8_pc_4,Player attributes (#: 110)
7.6306753147648e-05,home_team_avg_goal_at_home_last_10_matches,Recent avg goal & win % (#: 65)
7.6306753147648e-05,home_team_avg_oppnt_goal_at_home_last_20_matches,Recent avg goal & win % (#: 65)
7.6306753147648e-05,home_team_std_elo_last_5_matches,Recent Elo rating (#: 34)
0.00011446012972143871,home_player_11_pc_3,Player attributes (#: 110)
0.00011446012972144981,home_team_avg_elo_last_30_matches,Recent Elo rating (#: 34)
0.00011446012972146091,away_player_6_pc_1,Player attributes (#: 110)
0.00011446012972146091,home_player_7_pc_4,Player attributes (#: 110)
